file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
MTX194600222,1,4,4,8,1,2,67,407,0.7160916666666667,0.003958333333333334,0.9347500000000001,846.1750000000001,0.25,0.3887333333333333,0.45045,0.08333333333333333,ces
MTX194601130,1,3,1,6,1,0,34,197,0.7127333333333333,0.002777777777777778,0.8878777777777778,997.7022222222222,0.1111111111111111,0.3828111111111111,0.5268555555555555,0.2222222222222222,ces
MTX194602129,1,5,4,7,0,0,46,324,0.7302083333333332,0.013541666666666667,0.8458583333333333,1708.0666666666666,0.0,0.41785,0.5103083333333333,0.16666666666666666,ces
MTX194602989,1,4,4,9,0,0,39,325,0.7221923076923077,0.0041,0.9024,1531.5207692307692,0.0,0.3651,0.4754846153846154,0.15384615384615385,ces
MTX194700758,1,3,4,1,2,5,16,101,0.7907,0.0,0.901625,769.2975,0.0,0.359275,0.474275,0.0,ces
MTX194701553,2,8,1,8,2,0,73,537,0.7420687499999999,0.0139125,0.8983625,784.69625,0.1875,0.38566875,0.52938125,0.0,ces
MTX194800123,5,4,0,12,1,3,99,625,0.70031875,0.01524375,0.974575,406.001875,0.0625,0.3425125,0.49524375,0.0,ces
MTX194800839,1,17,10,21,3,0,128,928,0.7482631578947369,0.019342105263157893,0.9330631578947369,1047.6573684210528,0.13157894736842105,0.40090526315789476,0.510478947368421,0.13157894736842105,ces
MTX194900081,16,12,0,22,3,1,282,1870,0.73775,0.026882352941176472,0.9678705882352941,738.5023529411765,0.08823529411764706,0.39234411764705884,0.5034147058823529,0.0,ces
MTX195000579,10,7,5,6,5,0,141,731,0.7437692307692308,0.0073692307692307685,0.9567692307692308,1272.316923076923,0.38461538461538464,0.3966692307692308,0.5442,0.0,ces
MTX195001022,3,1,0,1,0,0,4,25,0.63405,0.025,0.76545,1075607.685,0.0,0.4722,0.2222,0.0,ces
MTX195001467,2,11,12,12,2,0,66,411,0.7348608695652175,0.019178260869565218,0.8905521739130435,1041.8908695652174,0.043478260869565216,0.3576304347826087,0.4393130434782609,0.21739130434782608,ces
MTX195100569,2,3,6,6,1,4,41,288,0.7373333333333334,0.027166666666666665,0.8927333333333333,430.87,0.0,0.4313,0.5521111111111111,0.2222222222222222,ces
MTX195100878,42,7,1,32,0,1,301,2029,0.7191307692307692,0.008694871794871795,0.9838025641025641,705.7425641025641,0.05128205128205128,0.4110615384615385,0.534351282051282,0.0,ces
MTX195200247,43,7,19,13,117,2,47,207,0.683205,0.0,0.94478,275179.156,0.0,0.366915,0.48565500000000006,0.0,ces
MTX195203035,2,26,4,8,2,1,143,975,0.8137058823529412,0.0014705882352941176,0.9461323529411765,804.5285294117648,0.0,0.4182970588235294,0.49919411764705884,0.11764705882352941,ces
MTX195400366e,13,1,1,1,1,0,4,29,0.75535,0.0,0.99495,2545.745,0.0,0.44505,0.5164500000000001,0.0,ces
MTX195401664,180,33,4,3,1,0,293,1896,0.8401666666666666,0.009075,0.9729722222222222,490.01861111111106,0.0,0.4091916666666667,0.504,0.0,ces
