file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,fused_words,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX193001369,1,1,NĚ KATOVICE,,,ces,1.0,1365.9,2,11,0.0,0,0,0,0,0,0,0.0,0.5,0.4,0.7838,Clear,True
CTX193001369,1,2,okr. Brandýs n/L.,,,ces,0.75,687.22,3,17,0.0,0,0,0,0,0,0,0.0333,0.25,0.5,0.8054,Clear,False
CTX193001369,1,3,GEC,,,,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,1,4,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,1,5,"ČSL sTAT""I ARCaACONCCN t., .",,,ces,0.75,2372.11,5,28,0.0357,0,2,0,0,0,0,0.08,0.3,0.25,0.6037,Noisy,False
CTX193001369,1,6,ŕ : UW Dos & 837mm. i b.,,,ces,0.75,3723.69,8,24,0.0833,1,0,0,0,0,0,0.1062,0.3,0.8,0.1267,Trash,False
CTX193001369,1,7,UJ - Počet pilo’a,,,ces,0.75,784.59,4,17,0.0588,1,0,0,0,0,0,0.1,0.5,0.5,0.6754,Noisy,False
CTX193001369,1,8,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,1,9,Hroby se zvôncovymi poháry.,,,ces,0.9685,1007.3,4,27,0.0,0,0,0,0,0,0,0.0,0.3913,0.6522,0.6584,Noisy,False
CTX193001369,1,10,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,1,11,F,,,,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,2,1,A.,,,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,2,2,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,2,3,NERATOVICE.,,,ces,0.75,673.14,1,11,0.0,0,0,0,0,0,0,0.0,0.5,0.5,0.887,Clear,True
CTX193001369,2,4,okr. Brandýs n/L. GEC,,,ces,0.75,754.6,4,21,0.0,0,0,0,0,0,0,0.025,0.2667,0.4667,0.838,Clear,False
CTX193001369,2,5,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,2,6,Hrobyse zvoncovými poháry,,,ces,0.8634,862.21,3,25,0.0,0,0,0,0,0,0,0.0,0.4348,0.6522,0.5205,Noisy,False
CTX193001369,2,7,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,2,8,"Na levém břehu Labe v Neratovicích, v pískovně továrny GEC roz-",,,ces,1.0,515.14,11,63,0.0,0,0,0,0,0,0,0.0,0.3922,0.5294,0.894,Clear,False
CTX193001369,2,9,"kládalose větší pohřebiště se zvoncovými poháry, jež bylo v r.1928",,,ces,1.0,261.51,10,66,0.0,0,0,0,0,0,0,0.0,0.4118,0.5098,0.9009,Clear,False
CTX193001369,2,10,prozkoumáno St.A.0. *ot> 8y A*- * “7 -,,,ces,0.9767,623.89,8,38,0.1316,4,0,0,0,0,1,0.1625,0.5,0.6111,0.4203,Trash,False
CTX193001369,2,11,' w.,,,,0.0,0.0,0,4,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,2,12,"Hrob 1. / 20•A. 1928. / Poloha milodarů nemohla býti zjištěna,",zji,,ces,0.9999,507.89,11,62,0.0161,1,0,0,0,0,0,0.0364,0.4474,0.3947,0.8303,Clear,False
CTX193001369,2,13,"nebot obsah hrobu / 4 nádoby, nátepní destičkaabronzová dýč-",,"štěna,",ces,0.9848,574.73,9,60,0.0,0,0,0,0,1,0,0.0278,0.4167,0.6042,0.7,Clear,False
CTX193001369,2,14,"ka / byl vybrán teprve způdy, zřícené následkem trvalých dešťů.",,,ces,1.0,415.32,10,63,0.0,0,0,0,0,0,0,0.0,0.3529,0.5098,0.9132,Clear,False
CTX193001369,2,15,"Nádoba 1. Zvoncový pohársplochým dnem, tmavě Červený, na nezdobených",,,ces,0.8465,199.92,9,68,0.0,0,0,0,0,0,0,0.0,0.375,0.625,0.9137,Clear,False
CTX193001369,2,16,"částechvně jší strany jemně leštěný. VtlaČovaná výzdoba, nesoucí dosud",,,ces,1.0,235.85,9,70,0.0,0,1,0,0,0,0,0.0111,0.4,0.5167,0.9457,Clear,False
CTX193001369,2,17,"stopy bé inkrustace, pokrývávsedmi vodorovných pruzích celý povrch",,,ces,0.7958,423.01,8,66,0.0,0,0,0,0,0,1,0.0,0.3621,0.5345,0.9213,Clear,False
CTX193001369,2,18,", poháru. Rozměry : v - 185""mm, pr. okraje - 20 mm, pr. dna - 80 mm.",,,ces,0.9788,296.16,17,68,0.0294,0,0,0,0,0,1,0.0,0.303,0.6061,0.759,Clear,False
CTX193001369,2,19,"Tb.I.,1. ; V., 4. č.neg420.",,,ces,0.75,681.81,5,27,0.037,0,0,0,0,0,2,0.02,0.25,0.5,0.595,Noisy,False
CTX193001369,2,20,"Nádoba 2* Zvoncový pohár se zakulaceným, uprostřed promáčknutým dnem,",,,ces,0.9927,355.26,9,69,0.0145,1,0,0,0,0,0,0.0444,0.386,0.614,0.901,Clear,False
CTX193001369,2,21,"tmavě červený, na nezdobených částech vnější strany hlazený. Výzdoba",,,ces,1.0,117.34,9,68,0.0,0,0,0,0,0,0,0.0,0.3793,0.5172,0.9514,Clear,False
CTX193001369,2,22,"v některých místech silně bíle inkrustovaná, tvoří 5 vodorovných pruhů,",,,ces,1.0,202.44,10,71,0.0,0,0,0,0,0,0,0.025,0.3729,0.4576,0.9259,Clear,False
CTX193001369,2,23,pokrývajících ce_lý povrch nádoby až k proláklině ve dnu. Rozměry: v -,,,ces,1.0,293.37,12,70,0.0286,1,0,0,0,0,1,0.0333,0.3818,0.4545,0.8308,Clear,False
