file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,gibberish,word_weird,vowel_ratio,quality_score,categ,caps_header
CTX198603218,1,1,"479. TUROVEC, o. Nová Ves u Chýnova, okr. Tábor",,,ces,0.75,702.52,9,47,0.0,0,0,0,0,0,0.0,0.4516,0.7976,Clear,False
CTX198603218,1,2,"1980-81 - KULT: Středověk. LOK: ZSV Kravín, ca 6,5km JV od Tábora; Ikm sev. od silnice",,,ces,0.9978,446.28,16,86,0.0349,0,0,0,0,0,0.0531,0.3333,0.8053,Clear,False
CTX198603218,1,3,"Planá n.Luž. - Turovec-Chýnov; v lese s pomístním názvem ""Stará ves"" /""Pustá ves""/. ZM 23-133 Tábor,",Tá,,ces,0.9868,328.75,16,100,0.05,0,2,1,0,0,0.0875,0.3485,0.8476,Clear,False
CTX198603218,1,4,217 od Z a 65 mm od J s.č. OKOL: Systematický výzkum zaniklé středověké vesnice Kravín. NÁLEZ:,,"bor,",ces,0.9999,430.36,17,94,0.0213,0,0,0,0,0,0.05,0.3824,0.7973,Clear,False
CTX198603218,1,5,"Po předchozích výzkumech v letech 1965-1967 a 1973-1974 odkryt jeden z dalších objektů ZSV, tentokrát",,,ces,1.0,333.41,15,101,0.0,0,0,0,0,0,0.0,0.3235,0.8607,Clear,False
CTX198603218,1,6,"jako součást ""Experimentu na středověkém objektu"", prováděném ve spolupráci AÚ ČSAV Praha a MHRH",,,ces,1.0,353.76,14,96,0.0208,0,0,0,0,1,0.0,0.4125,0.8899,Clear,False
CTX198603218,1,7,Tábor. Výzkumem měla být ověřena vypovídací schopnost geodeticko-topografického průzkumu v detailní,,,ces,1.0,215.76,11,99,0.0,0,0,0,0,0,0.0,0.4253,0.9591,Clear,False
CTX198603218,1,8,situaci jednoho z objektů. Archeologický výzkum byl zařazen do výzkumného úkolu systematického zkoumání,,,ces,1.0,230.03,13,103,0.0,0,0,0,0,0,0.0,0.4444,0.9427,Clear,False
CTX198603218,1,9,ZSV tzv. husitského období na Táborskú. Výzkumem byl zjištěn jednoprostorový obytný objekt zemnicové-,,,ces,0.9982,242.11,13,101,0.0,0,0,0,0,0,0.0,0.3721,0.9613,Clear,False
CTX198603218,1,10,"ho typu s prostým otevřeným ohništěm, zásobní jámou, svahovitou vstupní šíjí a kamennou plentou podél",,,ces,0.9998,302.46,15,101,0.0,0,0,0,0,0,0.0,0.4353,0.9239,Clear,False
CTX198603218,1,11,podpovrchových částí stěn. Objekt dosahoval rozměrů 500-540 x 220-270 cm s delší osou V - Z. Jihovýchodně,Jihovýchod,,ces,1.0,239.04,17,105,0.0,0,0,2,0,0,0.1412,0.3611,0.8115,Clear,False
CTX198603218,1,12,"od tohoto objektu, 350 cm od stěn a 250 cm od počátku vchodu do něj, byly odkryty zbytky povrchové stavby.",stav,ně,ces,1.0,353.89,20,106,0.0,0,0,1,0,0,0.0175,0.3846,0.8417,Clear,False
CTX198603218,1,13,Rozkládala se na ploše cca 500 x 500 cm a její stěny byly shodně orientovány s obytným objektem. Získaný,Zís,by.,ces,1.0,320.08,19,104,0.0,0,0,0,0,0,0.0447,0.4177,0.85,Clear,False
CTX198603218,1,14,materiál této sídelní jednotky /dům + oddělená hospodářská stavba/ je datován do první poloviny 15.,,kaný,ces,1.0,592.26,15,99,0.0101,0,0,0,0,0,0.0567,0.4177,0.8759,Clear,False
CTX198603218,1,15,"století. Mezi objekty č. 1 /dům/ a č. 3 /povrchová stavba/byla odkryta oválná studna, prostě vyhloubená",,,ces,1.0,371.17,16,103,0.0,0,0,0,0,0,0.1375,0.4103,0.8484,Clear,False
CTX198603218,1,16,"do podloží, dosahující průměru 140-175cm a hloubky 410 cm. Ve středu dna bylo zjištěno pravidelné kruhovité",kru,,ces,1.0,580.28,16,107,0.0,0,0,0,0,0,0.0,0.4125,0.8587,Clear,False
CTX198603218,1,17,"zahloubení o průměru 60cm a hloubce 20 cm, sloužící jako odkalovač. Objekt je datován do konce 13.,",,hovité,ces,1.0,572.29,17,99,0.0,0,0,0,0,1,0.0,0.4384,0.8269,Clear,False
