file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,ch_ratio,main_lang
CTX193001369,1,2,3,3,2,1,18,100,0.66064,0.03466,0.8436999999999999,1243.422,0.2,0.38826,0.2,ces
CTX193001369,2,21,3,9,2,0,286,1653,0.7781266666666666,0.019556666666666667,0.9272333333333334,383.03633333333335,0.3,0.3652533333333333,0.03333333333333333,ces
CTX193001369,3,22,1,10,3,1,299,1657,0.744609375,0.01384375,0.943240625,489.0515625,0.3125,0.370890625,0.0,ces
CTX193001369,4,20,0,11,4,2,287,1691,0.7283258064516128,0.0119,0.9035322580645161,681.7770967741935,0.2903225806451613,0.3746225806451613,0.0,ces
CTX193001369,5,21,1,18,4,0,281,1653,0.7179410256410257,0.013151282051282052,0.9144717948717949,537.764358974359,0.20512820512820512,0.35583333333333333,0.0,ces
CTX193001369,6,21,1,13,1,1,338,1964,0.7413294117647058,0.014929411764705884,0.9179588235294117,559.9676470588236,0.3235294117647059,0.34785,0.0,ces
CTX193001369,7,21,3,13,2,1,375,1991,0.7399294117647058,0.00793529411764706,0.9262911764705882,572.395,0.23529411764705882,0.3386264705882353,0.0,ces
CTX193001369,8,13,3,6,1,0,190,1069,0.7368842105263158,0.013236842105263158,0.9330263157894736,661.1494736842105,0.21052631578947367,0.3716578947368421,0.0,ces
CTX193001369,10,0,1,0,1,1,0,0,,,,,,,,
CTX193001369,11,0,3,4,1,1,15,83,0.5579000000000001,0.033325,0.77805,4471.5075,0.0,0.39805,0.0,ces
CTX193001369,12,0,2,1,0,3,4,20,0.5521,0.0375,0.75,1317.81,1.0,0.4444,0.0,ces
CTX193001369,13,0,1,1,1,1,1,2,0.5848,0.0,0.75,215.04,0.0,0.0,1.0,ces
CTX193001369,14,2,1,1,0,0,8,52,0.6924333333333333,0.03333333333333333,0.8328000000000001,1422.5866666666668,0.0,0.3363333333333333,0.0,ces
CTX193001369,15,3,8,7,1,7,30,167,0.60099,0.030910000000000003,0.78938,1296.076,0.0,0.36372,0.2,ces
CTX193001369,16,3,7,3,2,3,14,94,0.6648333333333333,0.075,0.81605,3148.661666666667,0.3333333333333333,0.42005,0.0,ces
CTX193001369,17,1,3,3,1,3,9,62,0.66655,0.03,0.76785,8953.64,0.25,0.233325,0.0,ces
CTX193001369,18,2,2,1,1,2,3,23,0.7520666666666666,0.0,0.8478,8683.396666666666,0.0,0.39999999999999997,0.0,ces
CTX193001369,19,0,2,1,1,3,3,9,0.6039,0.1333,0.8475,424.81,1.0,0.3333,0.0,ces
CTX193001369,20,0,2,2,1,1,6,50,0.58595,0.037500000000000006,0.8254,8985.985,0.0,0.36865000000000003,0.0,ces
CTX193001369,21,0,3,2,2,3,4,53,0.71195,0.01665,0.8744000000000001,3900.63,0.0,0.30805,0.0,ces
CTX193001369,22,0,1,2,0,0,11,56,0.544,0.02185,0.7898499999999999,1705.7949999999998,0.0,0.57335,0.0,ces
CTX193001369,23,1,4,0,2,6,1,9,0.8395,0.0,1.0,591.11,0.0,0.25,0.0,ces
CTX193001369,24,0,4,0,4,7,0,0,,,,,,,,
CTX193001369,25,1,3,3,3,1,6,25,0.644975,0.025,0.8654,835.095,0.0,0.341675,0.0,ces
CTX193001369,26,1,3,5,2,2,14,91,0.6473166666666667,0.02,0.8954666666666666,7184.6033333333335,0.0,0.32375,0.0,ces
CTX193001369,27,4,6,2,2,6,12,91,0.6568833333333334,0.041666666666666664,0.87145,30152.326666666664,0.16666666666666666,0.3860666666666666,0.6666666666666666,ces
CTX193001369,28,1,4,7,1,0,22,119,0.60495,0.0390625,0.7788625,1839.3937500000002,0.0,0.4375,0.0,ces
