file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX197402444,1,1,o P ATOVICEn.Le,,,ces,0.75,23424.0,3,15,0.0,0,1,0,0,0,0.0333,0.5,0.5833,0.495,Noisy,False
CTX197402444,1,2,Kat. obec:,,,ces,0.75,8096.0,2,10,0.1,0,0,0,0,0,0.0,0.4286,0.4286,0.3999,Trash,False
CTX197402444,1,3,Osada:,,,ces,0.9951,856.0,1,6,0.1667,0,0,0,0,0,0.0,0.6,0.6,0.3999,Trash,False
CTX197402444,1,4,Trať: Pardubice,,,ces,0.75,197.0,2,15,0.0667,0,0,0,0,0,0.0,0.3846,0.3846,0.8623,Clear,False
CTX197402444,1,5,Okres:,,,ces,0.75,588.0,1,6,0.1667,0,0,0,0,0,0.0,0.4,0.6,0.7551,Clear,False
CTX197402444,1,6,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197402444,1,7,Druh a kultura:,,,ces,0.9973,144.0,3,15,0.0667,0,0,0,0,0,0.0,0.4167,0.3333,0.7729,Clear,False
CTX197402444,1,8,Lužické sídliště,,,ces,1.0,82.0,2,16,0.0,0,0,0,0,0,0.0,0.4,0.2,0.8996,Clear,False
CTX197402444,1,9,Zpráva,,,ces,1.0,84.5,1,6,0.0,0,0,0,0,0,0.0,0.3333,0.5,0.8891,Clear,False
CTX197402444,1,10,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197402444,1,11,XXWžkumu,,,ces,0.8246,26624.0,1,8,0.0,0,1,0,0,0,0.0,0.25,0.75,0.6999,Noisy,False
CTX197402444,1,12,XAterenta,,,ces,0.75,126976.0,1,9,0.0,0,0,0,0,0,0.0,0.4444,0.4444,0.6999,Noisy,False
CTX197402444,1,13,kmixxxx,,,ces,0.9954,32000.0,1,7,0.0,0,0,1,0,1,0.35,0.1429,0.7143,0.3999,Trash,False
CTX197402444,1,14,ved. oddělení,,,ces,1.0,856.0,2,13,0.0,0,0,0,0,0,0.0,0.4545,0.7273,0.6999,Noisy,False
CTX197402444,1,15,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197402444,1,16,za období:,,,ces,0.9609,644.0,2,10,0.1,0,0,0,0,0,0.0,0.5,0.75,0.6112,Noisy,False
CTX197402444,1,17,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197402444,1,18,19.111.1974,,,,0.0,0.0,0,11,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197402444,1,19,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197402444,1,20,Dne 19.III.1974 jsije navštívili pískovnu JZD,,,ces,0.9896,84.5,6,45,0.0,0,0,1,0,0,0.0583,0.4062,0.5,0.6999,Noisy,False
CTX197402444,1,21,"v Opatovicích n.L., známou z velkého záchraného výzkumu AŮ ČSAV",,,ces,0.9999,163.0,10,63,0.0,0,1,0,0,0,0.01,0.4118,0.4902,0.6999,Noisy,False
CTX197402444,1,22,v Praze v letech 1956-1959. Tehdy práce v pískovně byla zastavena,,,ces,1.0,30.62,11,65,0.0,0,0,0,0,0,0.0,0.3778,0.5556,0.8436,Clear,False
CTX197402444,1,23,a proto výzkum byl přerušen.,,,ces,1.0,115.5,5,28,0.0,0,0,0,0,0,0.0,0.3913,0.6087,0.8378,Clear,False
CTX197402444,1,24,"Zjistili jsme, že práce v pískovně byly obnoveny,",,,ces,1.0,33.75,8,49,0.0,0,0,0,0,0,0.0,0.4,0.625,0.8591,Clear,False
CTX197402444,1,25,rozsah pískovny se zvětšil i za hranice záchranného výzkumu. Na,,,ces,1.0,22.38,10,63,0.0,0,0,0,0,0,0.0,0.3962,0.4906,0.8354,Clear,False
CTX197402444,1,26,"bagrem skryté ploše jsou znatelné 3—4 hlubší objekty, skrývka",,,ces,0.9999,84.5,9,61,0.0164,0,0,0,0,0,0.0,0.3673,0.4694,0.9042,Clear,False
CTX197402444,1,27,"však šla velmi hluboko, takže mad± mělčí objekty byly zcela",,,ces,1.0,93.0,10,59,0.0169,1,0,0,0,0,0.04,0.3958,0.4375,0.6999,Noisy,False
CTX197402444,1,28,zničeny,,,ces,0.9685,1456.0,1,7,0.0,0,0,0,0,0,0.0,0.4286,0.7143,0.6999,Noisy,False
CTX197402444,1,29,Podle teréního pozorování,,,ces,1.0,158.0,3,25,0.0,0,0,0,0,0,0.0,0.4783,0.6087,0.8934,Clear,False
CTX197402444,1,30,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197402444,1,31,je ještě část sídliště,,,ces,1.0,148.0,4,22,0.0,0,0,0,0,0,0.0,0.3684,0.2632,0.8174,Clear,False
CTX197402444,1,32,"zachována na parc.č. 1503, kde jsme sběrem",,,ces,1.0,112.0,7,42,0.0,0,0,0,0,0,0.0,0.3448,0.5172,0.8196,Clear,False
CTX197402444,1,33,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197402444,1,34,získali lžickou kera-,,,ces,0.9651,430.0,3,21,0.0,0,0,0,0,0,0.0,0.4444,0.2778,0.8255,Clear,False
CTX197402444,1,35,"miku. Další střepy jsme našli na parc.č. 1510, scvernt od pískovny",,,ces,0.9997,127.0,11,66,0.0,0,0,0,0,1,0.0,0.3333,0.5208,0.8467,Clear,False
CTX197402444,1,36,Ty však mohou pocházet z rozrušených žárových hrobů.,,,ces,0.9965,41.75,8,52,0.0,0,0,0,0,0,0.0,0.3864,0.4545,0.8648,Clear,False
CTX197402444,1,37,"Domnáváme se, že AÚ ČSAV v Praze by měl dokončit",,,ces,1.0,40.0,10,48,0.0,0,0,0,0,0,0.0,0.4211,0.6053,0.7858,Clear,False
CTX197402444,1,38,"Výzkum tohoto důležitého lužického sídliště, aby tak byl ukázán",,,ces,1.0,30.12,9,63,0.0,0,0,0,0,0,0.0,0.4444,0.3889,0.9538,Clear,False
CTX197402444,1,39,poprvé celý půdorys pravěké vesnice i s pohřebištěm,,,ces,1.0,102.0,8,51,0.0,0,0,0,0,0,0.0,0.4091,0.5227,0.8556,Clear,False
CTX197402444,1,40,"V Hradci Králové, 27.111.1974",,,ces,0.9143,34.75,4,29,0.0,0,0,1,0,0,0.0875,0.3571,0.2857,0.6999,Noisy,False
CTX197402444,1,41,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197402444,1,42,.předejte prosím Dr.J.Ratajo,,,ces,0.9993,908.0,3,28,0.0,0,1,0,0,0,0.0333,0.3478,0.4783,0.6999,Noisy,False
CTX197402444,1,43,"| ver,výzkumu v Opatovicích.",,,ces,0.9907,1808.0,4,28,0.0357,1,0,0,0,0,0.0,0.4091,0.5455,0.5566,Noisy,False
CTX197402444,1,44,"Domnívám se, že druhý vedoucfvýzkumu v Opatovicích na sídlišti,Dr",,,ces,0.997,185.0,9,65,0.0,0,1,0,0,0,0.0111,0.4,0.5455,0.6999,Noisy,False
CTX197402444,1,45,V.Vokolek by mohl-vzhledem k blízkosti svého pracoviště zahájit jednání,,,ces,1.0,148.0,9,71,0.0,0,0,0,0,0,0.0,0.3607,0.4918,0.6999,Noisy,False
CTX197402444,1,46,"s ústavem o další výzkum na sídlišti . Doporučuji, aby tento výzkum",,,ces,0.9999,21.75,12,67,0.0,0,0,0,0,0,0.0,0.4259,0.537,0.8567,Clear,False
CTX197402444,1,47,mu byl svěřen.,,,ces,1.0,664.0,3,14,0.0,0,0,0,0,0,0.0,0.3636,0.7273,0.6669,Noisy,False
CTX197402444,1,48,ov Praze dne 7.5.1974. R_,,,ces,0.777,68.0,5,25,0.04,0,0,0,0,0,0.0,0.3636,0.7273,0.6994,Noisy,False
CTX197402444,1,49,Poznámka: Pište pokud možno strojem. Na konci uveďte datum odeslání a čitelný podpis. Zprávy koreferenta komisí,,,ces,0.9837,42.5,16,111,0.009,0,0,0,0,0,0.0,0.4194,0.5699,0.9486,Clear,False
CTX197402444,1,50,7) vyhotovte dvojmo. ;,,,ces,0.9717,880.0,4,22,0.0455,0,0,0,0,0,0.0625,0.4,0.7333,0.5562,Noisy,False
CTX197402444,1,51,v^UlíLa uq (AAuu Aud. AnMlut,,,ces,0.7617,13376.0,5,28,0.0357,1,2,0,0,1,0.12,0.5714,0.5238,0.5626,Noisy,False
CTX197402444,1,52,V r Wrr (ia 7 TcedLir). 2 {,,,ces,0.75,1000.0,8,27,0.037,1,1,0,0,0,0.075,0.2857,0.2857,0.4574,Noisy,False
CTX197402444,1,53,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197402444,1,54,y.,,,,0.0,0.0,0,2,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
