file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,gibberish,word_weird,vowel_ratio,quality_score,categ,caps_header
CTX201405311,1,1,Č. akce 45938,,,ces,0.9998,105.0,3,13,0.0,0,0,0,0,0,0.0,0.4,0.6766,Noisy,False
CTX201405311,1,2,"ARCHEOLOGICKÝ ÚSTAV AKADEMIE VĚD ČR, Praha, v.v.i.",,,ces,0.9942,44.5,7,50,0.0,0,0,0,0,0,0.0,0.4359,0.8354,Clear,False
CTX201405311,1,3,"118 01 Praha 1 - Malá Strana, Letenská 4",,,ces,0.8718,41.25,9,40,0.0,0,0,0,0,0,0.0556,0.3913,0.744,Clear,False
CTX201405311,1,4,"Pracoviště Kutná Hora, Hloušecká 609, 284 01 Kutná Hora",,,ces,0.9996,15.62,9,55,0.0,0,0,0,0,0,0.0,0.4324,0.8446,Clear,False
CTX201405311,1,5,"tel.: 327 511 730, e-mail: archeologiekh@seznam.cz",,,ces,0.75,30.62,6,50,0.06,1,0,0,0,0,0.0667,0.4138,0.7025,Clear,False
CTX201405311,1,6,V Kutné Hoře 1.7.2014,,,ces,1.0,96.0,4,21,0.0,0,0,0,0,0,0.0,0.4,0.7328,Clear,False
CTX201405311,1,7,Ing. Jan Přibyl,,,ces,1.0,70.0,3,15,0.0,0,0,0,0,0,0.0,0.3333,0.8877,Clear,False
CTX201405311,1,8,Mgr. Jana Přibylová,,,ces,1.0,31.12,3,19,0.0,0,0,0,0,0,0.0,0.375,0.9022,Clear,False
CTX201405311,1,9,Spodní 682,,,ces,1.0,324.0,2,10,0.0,0,0,0,0,0,0.0,0.3333,0.6952,Noisy,False
CTX201405311,1,10,Spodní 682,,,ces,1.0,324.0,2,10,0.0,0,0,0,0,0,0.0,0.3333,0.6952,Noisy,False
CTX201405311,1,11,625 00 Brno,,,ces,0.8475,84.5,3,11,0.0,0,0,0,0,0,0.0,0.25,0.6941,Noisy,False
CTX201405311,1,12,625 00 Brno,,,ces,0.8475,84.5,3,11,0.0,0,0,0,0,0,0.0,0.25,0.6941,Noisy,False
CTX201405311,1,13,VĚC: zpráva o provedení záchranného archeologického výzkumu při akci - Čáslav - novostavba,,,ces,1.0,28.38,13,90,0.0111,0,0,0,0,0,0.0,0.4133,0.9084,Clear,False
CTX201405311,1,14,"rodinného domu na ppč. 1642/17,18 v k.ú. Čáslav.",,,ces,0.9762,66.0,8,48,0.0,0,0,0,0,0,0.0,0.3704,0.7598,Clear,False
CTX201405311,1,15,V souladu se zněním zákona č.20/87 Sb. v platném znění byl na základě ohlášení zahájení výkopových prací,,,ces,1.0,46.0,17,104,0.0,0,0,0,0,0,0.0,0.4074,0.8791,Clear,False
CTX201405311,1,16,"proveden archeologický dohled při akci: Čáslav - novostavba rodinného domu na ppč. 1642/17, 18 v k.ú.",,,ces,0.9994,49.75,16,101,0.0099,0,0,0,0,0,0.0,0.3944,0.8637,Clear,False
CTX201405311,1,17,Čáslav.,,,ces,1.0,135.0,1,7,0.0,0,0,0,0,0,0.0,0.3333,0.8514,Clear,False
CTX201405311,1,18,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX201405311,1,19,Akce probíhala na západním okraji města v poloze „Vodranty“. V těsném sousedství stavby došlo v minulosti,,,ces,1.0,45.25,16,105,0.019,1,0,0,0,0,0.025,0.4023,0.8865,Clear,False
CTX201405311,1,20,"k zachycení polykulturního pravěkého a středověkého osídlení, proto nešlo dopředu vyloučit možnost, že",,,ces,1.0,47.5,13,102,0.0,0,0,0,0,0,0.0,0.4318,0.9173,Clear,False
CTX201405311,1,21,v průběhu akce dojde k poškození důležitých archeologických situací.,,,ces,1.0,14.44,9,68,0.0,0,0,0,0,0,0.0,0.4237,0.8955,Clear,False
CTX201405311,1,22,Archeologický dohled při stavbě proběhl formou revize (20.6.2014) skrývky ornice a výkopů základových,,,ces,1.0,45.25,13,101,0.0,0,0,0,0,0,0.0,0.4103,0.9369,Clear,False
CTX201405311,1,23,pasů pro rodinný dům. Na profilech výkopů bylo patrné souvrství hnědé ornice s podorničím na intaktním,,,ces,1.0,139.0,16,102,0.0,0,0,0,0,0,0.0,0.3953,0.914,Clear,False
CTX201405311,1,24,"podloží, které tvořila intaktní spraš.",,,ces,1.0,72.5,5,38,0.0,0,0,0,0,0,0.0,0.375,0.913,Clear,False
CTX201405311,1,25,K zachycení archeologických situací ani materiálu při akci nedošlo. Vzhledem k negativním archeologickým,,,ces,0.9999,34.75,13,104,0.0,0,0,0,0,0,0.0,0.4286,0.945,Clear,False
CTX201405311,1,26,zjištěním byl prostor stavby po ukončení dohledu uvolněn pro dokončení akce.,,,ces,1.0,40.5,11,76,0.0,0,0,0,0,0,0.0,0.4,0.938,Clear,False
CTX201405311,1,27,"Archeologický dohled při stavbě provedl Mgr. Filip Velímský, Ph.D. (ARÚ AV ČR, Praha, v.v.i., pracoviště",,,ces,0.9998,54.5,15,104,0.0,0,1,0,0,1,0.0067,0.3544,0.9066,Clear,False
CTX201405311,1,28,"Kutná Hora). Terénní dokumentace je uložena v Archeologickém ústavu AV ČR, Praha, v.v.i., pracoviště",,,ces,0.9981,31.12,14,100,0.0,0,0,0,0,0,0.0,0.4304,0.8706,Clear,False
