file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
CTX193001369,1,2,3,3,2,1,18,100,0.63426,0.04266,0.8436999999999999,1500.4,0.2,0.38826,0.46044,0.2,ces
CTX193001369,2,25,3,4,2,1,272,1609,0.8149275862068965,0.014744827586206898,0.9208965517241379,222.47862068965517,0.20689655172413793,0.3606068965517241,0.5181793103448276,0.034482758620689655,ces
CTX193001369,3,25,1,5,5,1,274,1598,0.8106666666666666,0.011883333333333334,0.9560366666666666,182.48333333333332,0.3,0.36019999999999996,0.5111666666666667,0.0,ces
CTX193001369,4,24,0,6,4,3,252,1611,0.7924399999999999,0.026593333333333337,0.9158733333333333,371.59166666666664,0.26666666666666666,0.37385999999999997,0.5125233333333333,0.0,ces
CTX193001369,5,23,1,14,4,2,256,1582,0.7467783783783783,0.013637837837837839,0.9235108108108108,345.4256756756757,0.1891891891891892,0.36835945945945947,0.5294567567567567,0.0,ces
CTX193001369,6,25,1,6,2,3,290,1838,0.8222419354838709,0.013274193548387098,0.9285774193548387,226.65322580645162,0.2903225806451613,0.3513483870967742,0.5209774193548388,0.0,ces
CTX193001369,7,28,3,6,2,1,345,1961,0.8023029411764706,0.008814705882352942,0.926935294117647,359.31617647058823,0.23529411764705882,0.3386264705882353,0.5305558823529413,0.0,ces
CTX193001369,8,11,3,3,1,5,146,847,0.7948642857142857,0.013885714285714288,0.9627142857142857,206.14285714285714,0.21428571428571427,0.3615785714285714,0.5101214285714286,0.0,ces
CTX193001369,10,0,1,0,2,0,0,0,,,,,,,,,
CTX193001369,11,0,3,2,2,2,4,32,0.5581499999999999,0.25835,0.75,9577.0,0.5,0.34845,0.21514999999999998,0.0,ces
CTX193001369,12,1,2,1,2,0,13,69,0.6793,0.09375,0.7874,1549.0,1.0,0.404,0.49495,0.0,ces
CTX193001369,13,0,1,0,1,2,0,0,,,,,,,,,
CTX193001369,14,0,1,0,0,3,0,0,,,,,,,,,
CTX193001369,15,1,8,8,6,3,29,154,0.6135555555555556,0.08990000000000001,0.7937555555555555,1664.0,0.3333333333333333,0.33746666666666664,0.29102222222222224,0.0,ces
CTX193001369,16,0,7,4,3,4,9,37,0.5834999999999999,0.0875,0.8088,7293.5,0.25,0.4399,0.490375,0.5,ces
CTX193001369,17,2,3,1,5,0,8,59,0.7381000000000001,0.04,0.75,969.3333333333334,0.3333333333333333,0.3111,0.4861,0.0,ces
CTX193001369,18,1,2,0,3,2,1,10,0.8406,0.0,0.9439,850.0,0.0,0.3,0.5,0.0,ces
CTX193001369,19,0,2,1,2,2,4,13,0.6951,0.2125,0.9967,444.0,0.0,0.4444,0.3333,0.0,ces
CTX193001369,20,0,2,0,2,2,0,0,,,,,,,,,
CTX193001369,21,2,3,2,3,0,6,79,0.6291,0.22082500000000002,0.8122,2317.5,0.25,0.320675,0.47802500000000003,0.0,ces
CTX193001369,22,0,1,1,0,1,3,16,0.6768,0.0,0.75,123.0,0.0,0.6667,0.0,0.0,ces
CTX193001369,23,0,4,2,5,2,2,21,0.55975,0.30000000000000004,0.875,592.0,0.5,0.275,0.45,0.0,ces
CTX193001369,24,0,4,0,8,3,0,0,,,,,,,,,
CTX193001369,25,2,3,1,4,1,5,20,0.7177333333333333,0.03333333333333333,0.9038666666666666,460.3333333333333,0.0,0.4555666666666667,0.3277666666666667,0.0,ces
CTX193001369,26,2,3,3,3,2,9,46,0.67668,0.02,0.8881599999999998,1550.4,0.0,0.24684,0.48334,0.0,ces
CTX193001369,27,0,6,2,9,3,4,28,0.5892000000000001,0.2,0.79715,3577.0,0.5,0.35895,0.3205,0.0,ces
CTX193001369,28,2,4,2,4,1,7,38,0.66305,0.0125,0.80645,1135.75,0.0,0.375,0.25,0.0,ces
