file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX194201336,1,0,3,4,0,2
CTX194201336,2,0,25,10,0,6
CTX194201336,3,0,11,5,0,1
CTX194201336,4,0,9,5,0,1
CTX194201336,5,0,14,3,0,2
CTX194201336,6,0,12,5,0,1
CTX194201336,7,0,11,3,0,1
CTX194201336,8,0,11,2,0,2
CTX194201336,9,0,11,6,0,0
CTX194201336,10,0,11,3,0,2
CTX194201336,11,0,15,3,0,2
CTX194201336,12,0,11,5,0,1
CTX194201336,13,0,11,2,0,1
CTX194201336,14,0,10,8,0,2
CTX194201336,15,0,13,4,0,3
CTX194201336,16,0,11,3,0,1
CTX194201336,17,0,11,3,0,1
CTX194201336,18,0,12,1,0,2
CTX194201336,19,0,27,7,0,5
CTX194201336,20,0,11,2,0,1
CTX194201336,21,0,14,6,0,4
CTX194201336,22,0,11,2,0,1
CTX194201336,23,0,12,2,0,1
CTX194201336,24,0,10,3,0,2
CTX194201336,25,0,11,3,0,1
CTX194201336,26,0,13,2,0,2
CTX194201336,27,0,11,3,0,1
CTX194201336,28,0,5,5,0,2
CTX194201336,29,0,10,4,0,3
CTX194201336,30,1,12,2,0,2
CTX194201336,31,0,13,2,0,1
CTX194201336,32,0,14,6,0,6
CTX194201336,33,0,3,0,0,0
CTX194201336,34,0,11,1,0,2
CTX194201336,35,0,11,3,0,1
CTX194201336,36,0,13,2,0,4
CTX194201336,37,0,11,3,0,2
CTX194201336,38,0,12,1,0,2
CTX194201336,39,0,10,4,0,1
CTX194201336,40,0,14,4,0,1
CTX194201336,41,0,12,7,0,1
CTX194201336,42,0,13,1,0,3
CTX194201336,43,0,11,4,0,3
CTX194201336,44,0,11,2,0,3
CTX194201336,45,0,11,4,0,1
CTX194201336,46,0,13,2,0,1
CTX194201336,47,0,12,1,0,5
CTX194201336,48,0,12,2,0,1
CTX194201336,49,0,2,4,0,1
CTX194201336,50,0,14,4,0,1
CTX194201336,51,0,3,4,0,3
CTX194201336,52,0,13,4,0,1
CTX194201336,53,0,16,1,0,1
CTX194201336,54,0,11,3,0,1
CTX194201336,55,0,13,1,0,1
CTX194201336,56,0,4,2,0,2
CTX194201336,57,0,14,2,0,2
CTX194201336,58,1,5,9,0,0
CTX194201336,59,0,10,4,0,1
CTX194201336,60,0,12,8,0,1
CTX194201336,61,0,2,3,0,1
CTX194201336,62,0,12,2,0,2
CTX194201336,63,0,12,1,0,1
CTX194201336,64,0,13,2,0,5
CTX194201336,65,0,10,4,0,1
CTX194201336,66,0,12,1,0,1
CTX194201336,67,0,12,1,0,1
CTX194201336,68,0,12,1,0,1
CTX194201336,69,0,17,11,0,2
CTX194201336,70,0,11,6,0,4
CTX194201336,71,1,7,7,0,0
CTX194201336,72,0,12,4,0,2
CTX194201336,73,0,12,3,0,1
CTX194201336,74,0,12,2,0,2
CTX194201336,75,0,11,3,0,1
CTX194201336,76,0,11,5,0,1
CTX194201336,77,0,11,2,0,2
CTX194201336,78,0,6,6,0,2
CTX194201336,79,0,11,2,0,3
CTX194201336,80,0,10,3,0,2
CTX194201336,81,0,12,2,0,1
CTX194201336,82,0,12,1,0,3
CTX194201336,83,0,12,4,0,1
CTX194201336,84,0,10,5,0,2
CTX194201336,85,0,10,6,0,1
CTX194201336,86,0,13,3,0,1
CTX194201336,87,0,12,3,0,2
CTX194201336,88,0,12,2,0,3
CTX194201336,89,0,10,5,0,5
CTX194201336,90,1,12,5,0,2
CTX194201336,91,0,12,2,0,2
CTX194201336,92,0,12,2,0,2
CTX194201336,93,0,10,4,0,1
CTX194201336,94,0,12,2,0,1
