level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1700	2200	-1
2	1	1	0	0	0	162	181	662	41	-1
3	1	1	1	0	0	162	181	662	41	-1
4	1	1	1	1	0	162	181	662	41	-1
5	1	1	1	1	1	162	181	265	41	95.935890	HRADIŠTĚ
5	1	1	1	1	2	445	190	36	32	95.935890	U
5	1	1	1	1	3	500	181	174	41	93.158043	HORNÍ
5	1	1	1	1	4	693	181	131	41	91.690414	MEZÍ
2	1	2	0	0	0	161	255	764	34	-1
3	1	2	1	0	0	161	255	764	34	-1
4	1	2	1	1	0	161	255	764	34	-1
5	1	2	1	1	1	161	255	128	34	96.481194	Zpráva
5	1	2	1	1	2	303	264	20	18	96.466736	o
5	1	2	1	1	3	338	255	302	34	96.425041	archeologickém
5	1	2	1	1	4	651	255	168	34	95.781181	výzkumu
5	1	2	1	1	5	834	257	91	25	96.838356	2024
2	1	3	0	0	0	161	348	766	126	-1
3	1	3	1	0	0	161	348	766	126	-1
4	1	3	1	1	0	163	348	764	30	-1
5	1	3	1	1	1	163	349	91	23	96.748535	Sonda
5	1	3	1	1	2	267	350	19	22	96.488731	II
5	1	3	1	1	3	299	349	62	29	92.812744	byla
5	1	3	1	1	4	371	348	134	30	92.550041	vytyčena
5	1	3	1	1	5	515	357	17	15	96.576538	v
5	1	3	1	1	6	543	348	102	24	96.481834	červnu
5	1	3	1	1	7	658	350	73	22	96.841827	2024
5	1	3	1	1	8	743	357	35	15	96.744026	na
5	1	3	1	1	9	790	348	137	24	96.178680	severním
4	1	3	1	2	0	161	396	749	30	-1
5	1	3	1	2	1	161	397	86	29	96.899017	okraji
5	1	3	1	2	2	258	396	110	30	95.854362	plošiny,
5	1	3	1	2	3	381	397	52	23	95.854362	kde
5	1	3	1	2	4	447	405	29	15	96.882133	se
5	1	3	1	2	5	487	405	17	15	96.861549	v
5	1	3	1	2	6	515	405	64	15	96.181198	roce
5	1	3	1	2	7	592	398	73	22	96.475716	2019
5	1	3	1	2	8	677	397	117	29	95.811340	objevily
5	1	3	1	2	9	804	397	106	29	96.616379	zlomky
4	1	3	1	3	0	161	444	764	30	-1
5	1	3	1	3	1	161	445	140	29	96.743378	keramiky
5	1	3	1	3	2	312	453	16	15	93.301888	a
5	1	3	1	3	3	339	447	150	21	92.146492	mazanice.
5	1	3	1	3	4	504	445	91	23	96.740288	Sonda
5	1	3	1	3	5	606	453	16	15	96.973206	o
5	1	3	1	3	6	634	444	161	24	96.672943	rozměrech
5	1	3	1	3	7	806	446	17	22	96.780617	4
5	1	3	1	3	8	838	450	17	17	83.095634	x
5	1	3	1	3	9	870	446	14	22	95.019394	2
5	1	3	1	3	10	898	453	27	15	95.019394	m
2	1	4	0	0	0	161	492	690	30	-1
3	1	4	1	0	0	161	492	690	30	-1
4	1	4	1	1	0	161	492	690	30	-1
5	1	4	1	1	1	161	493	134	29	96.809616	zachytila
5	1	4	1	1	2	305	492	101	24	96.818138	vnitřní
5	1	4	1	1	3	417	492	33	24	96.670158	líc
5	1	4	1	1	4	462	493	62	23	96.160362	valu
5	1	4	1	1	5	536	501	16	15	96.776833	a
5	1	4	1	1	6	563	492	52	24	96.776833	dvě
5	1	4	1	1	7	628	492	117	24	96.583153	sídlištní
5	1	4	1	1	8	755	496	96	26	96.445328	vrstvy.
2	1	5	0	0	0	161	580	832	126	-1
3	1	5	1	0	0	161	580	832	126	-1
4	1	5	1	1	0	161	580	780	30	-1
5	1	5	1	1	1	161	580	110	30	96.387642	Nálezy:
5	1	5	1	1	2	286	580	94	30	96.798721	střepy
5	1	5	1	1	3	390	580	100	28	96.902840	nádob,
5	1	5	1	1	4	503	580	119	30	96.970467	přeslen,
5	1	5	1	1	5	635	580	100	24	96.555794	zvířecí
5	1	5	1	1	6	746	581	71	23	96.264000	kosti
5	1	5	1	1	7	828	589	16	15	96.868050	a
5	1	5	1	1	8	856	580	85	24	96.325562	želez-
4	1	5	1	2	0	161	626	740	32	-1
5	1	5	1	2	1	161	628	35	30	96.518188	ný
5	1	5	1	2	2	207	626	60	26	96.522339	nůž.
5	1	5	1	2	3	279	628	128	30	96.799416	Všechny
5	1	5	1	2	4	417	628	96	30	96.344116	nálezy
5	1	5	1	2	5	524	629	62	29	96.651764	byly
5	1	5	1	2	6	596	628	116	30	96.626564	uloženy
5	1	5	1	2	7	722	637	17	15	96.959999	v
5	1	5	1	2	8	749	628	152	30	96.481110	depozitáři
4	1	5	1	3	0	161	674	832	32	-1
5	1	5	1	3	1	161	685	97	15	96.040550	muzea
5	1	5	1	3	2	269	685	17	15	96.070587	v
5	1	5	1	3	3	297	676	85	24	96.070587	Horní
5	1	5	1	3	4	393	678	73	22	96.485909	Mezi
5	1	5	1	3	5	477	677	54	29	93.201141	pod
5	1	5	1	3	6	543	674	201	32	92.836304	přírůstkovým
5	1	5	1	3	7	755	676	96	24	96.204155	číslem
5	1	5	1	3	8	865	678	128	25	96.526428	17/2024.
2	1	6	0	0	0	808	766	84	19	-1
3	1	6	1	0	0	808	766	84	19	-1
4	1	6	1	1	0	808	766	84	19	-1
5	1	6	1	1	1	808	777	20	2	17.325500	—
5	1	6	1	1	2	845	766	47	19	17.325500	1—
1	2	0	0	0	0	0	0	1700	2200	-1
2	2	1	0	0	0	162	186	381	33	-1
3	2	1	1	0	0	162	186	381	33	-1
4	2	1	1	1	0	162	186	381	33	-1
5	2	1	1	1	1	162	186	215	33	91.116974	Stratigrafie
5	2	1	1	1	2	392	186	110	33	95.658524	sondy
5	2	1	1	1	3	515	187	28	25	95.658524	II
2	2	2	0	0	0	160	278	702	78	-1
3	2	2	1	0	0	160	278	702	78	-1
