file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX195603828,1,28,0,5,3,0
CTX195603828,2,7,0,0,1,0
CTX195704328,1,33,1,3,5,4
CTX195704328,2,3,0,0,1,0
CTX196006127,1,34,1,8,9,7
CTX196300443,1,28,2,6,1,3
CTX196300443,2,0,1,0,0,0
CTX197402444,1,34,0,9,9,2
CTX197901442,1,22,1,0,4,5
CTX198402945,1,40,0,1,8,4
CTX198402945,2,22,0,2,1,0
CTX198603218,1,21,0,2,1,1
CTX199405706,1,2,0,1,1,2
CTX199603106,1,11,1,1,11,1
CTX199603106,2,24,0,0,4,1
CTX199603106,3,26,1,3,1,1
CTX199603106,4,21,0,6,16,2
CTX199603106,5,11,0,3,11,1
CTX199603106,6,17,0,4,10,2
CTX199603106,8,0,0,0,0,1
CTX199603106,9,2,0,0,2,2
CTX200603179,1,22,0,5,7,2
CTX200603179,3,11,2,8,6,9
CTX201405311,1,27,0,6,2,0
CTX201601688,1,5,0,0,2,0
CTX201601688,2,33,0,0,7,2
CTX201601688,3,49,0,4,18,9
CTX201601688,4,2,0,0,0,0
CTX201601688,5,0,0,1,0,0
CTX201601688,6,0,0,1,0,0
CTX201601688,7,2,1,2,2,2
